iso3,country,region,subregion,capital,lat,lon,population_master,population_wb,population_year,gdp_usd,gdp_usd_year,gdp_per_capita_usd,gdp_per_capita_usd_year,life_expectancy,life_expectancy_year,population,population_source,as_of_utc
AIA,Anguilla,Americas,Caribbean,The Valley,18.25,-63.16666666,16010,,,,,,,,,16010.0,master,2026-05-23T05:48:00+00:00
GTM,Guatemala,Americas,Central America,Guatemala City,15.5,-90.25,18079810,18406359.0,2024,113199581158.203,2024,6150.02571438505,2024,72.746,2024,18406359.0,world_bank,2026-05-23T05:48:00+00:00
GMB,Gambia,Africa,Western Africa,Banjul,13.46666666,-16.56666666,2422712,2759988.0,2024,2404888749.21907,2024,871.340291776294,2024,66.057,2024,2759988.0,world_bank,2026-05-23T05:48:00+00:00
MEX,Mexico,Americas,North America,Mexico City,23.0,-102.0,130575786,130861007.0,2024,1856365616165.94,2024,14185.7812248529,2024,75.264,2024,130861007.0,world_bank,2026-05-23T05:48:00+00:00
MWI,Malawi,Africa,Eastern Africa,Lilongwe,-13.5,34.0,20734262,21655286.0,2024,11316411329.4619,2024,522.570393642547,2024,67.561,2024,21655286.0,world_bank,2026-05-23T05:48:00+00:00
PCN,Pitcairn Islands,Oceania,Polynesia,Adamstown,-25.06666666,-130.1,35,,,,,,,,,35.0,master,2026-05-23T05:48:00+00:00
ARG,Argentina,Americas,South America,Buenos Aires,-34.0,-64.0,46735004,45696159.0,2024,638365455340.04,2024,13969.7836603737,2024,77.543,2024,45696159.0,world_bank,2026-05-23T05:48:00+00:00
GUM,Guam,Oceania,Micronesia,Hagåtña,13.46666666,144.78333333,153836,167777.0,2024,6910000000.0,2022,41833.1517132825,2022,77.422,2024,167777.0,world_bank,2026-05-23T05:48:00+00:00
BGR,Bulgaria,Europe,Southeast Europe,Sofia,43.0,25.0,6437360,6441421.0,2024,113343355779.985,2024,17596.0173663521,2024,75.7609756097561,2024,6441421.0,world_bank,2026-05-23T05:48:00+00:00
DMA,Dominica,Americas,Caribbean,Roseau,15.41666666,-61.33333333,67408,66205.0,2024,688881481.481481,2024,10405.2787777582,2024,71.294,2024,66205.0,world_bank,2026-05-23T05:48:00+00:00
GBR,United Kingdom,Europe,Northern Europe,London,54.0,-2.0,69281437,69226000.0,2024,3686033044482.13,2024,53246.3676145108,2024,81.3868536585366,2024,69226000.0,world_bank,2026-05-23T05:48:00+00:00
FSM,Micronesia,Oceania,Micronesia,Palikir,6.91666666,158.25,105564,113160.0,2024,471425099.488675,2024,4166.00476748564,2024,67.357,2024,113160.0,world_bank,2026-05-23T05:48:00+00:00
PSE,Palestine,Asia,Western Asia,Ramallah,31.9,35.2,5483450,5289152.0,2024,13711100000.0,2024,2592.30591217647,2024,69.213,2024,5289152.0,world_bank,2026-05-23T05:48:00+00:00
CUW,Curaçao,Americas,Caribbean,Willemstad,12.116667,-68.933333,156115,155967.0,2024,3561178196.20713,2024,22832.8953958667,2024,76.989,2024,155967.0,world_bank,2026-05-23T05:48:00+00:00
RWA,Rwanda,Africa,Eastern Africa,Kigali,-2.0,30.0,14104969,14256567.0,2024,14251642235.0968,2024,999.65456165547,2024,68.017,2024,14256567.0,world_bank,2026-05-23T05:48:00+00:00
HKG,Hong Kong,Asia,Eastern Asia,City of Victoria,22.267,114.188,7527500,7524100.0,2024,406863396487.342,2024,54074.6928519479,2024,85.3926829268293,2024,7524100.0,world_bank,2026-05-23T05:48:00+00:00
UZB,Uzbekistan,Asia,Central Asia,Tashkent,41.0,64.0,37859698,36361859.0,2024,114965293466.611,2024,3161.70010632875,2024,72.528,2024,36361859.0,world_bank,2026-05-23T05:48:00+00:00
CHN,China,Asia,Eastern Asia,Beijing,35.0,105.0,1408280000,1408975000.0,2024,18743803170827.2,2024,13303.1481543868,2024,78.017,2024,1408975000.0,world_bank,2026-05-23T05:48:00+00:00
CYP,Cyprus,Europe,Southern Europe,Nicosia,35.0,33.0,1442614,1358282.0,2024,37634533331.8902,2024,38674.29296875,2024,81.821,2024,1358282.0,world_bank,2026-05-23T05:48:00+00:00
ABW,Aruba,Americas,Caribbean,Oranjestad,12.5,-69.96666666,107566,107995.0,2024,4265650673.00236,2024,39498.5941293797,2024,76.5,2024,107995.0,world_bank,2026-05-23T05:48:00+00:00
REU,Réunion,Africa,Eastern Africa,Saint-Denis,-21.15,55.5,896175,,,,,,,,,896175.0,master,2026-05-23T05:48:00+00:00
KOR,South Korea,Asia,Eastern Asia,Seoul,37.0,127.5,51159889,51751065.0,2024,1875388209406.8,2024,36238.639908315,2024,83.6292682926829,2024,51751065.0,world_bank,2026-05-23T05:48:00+00:00
ATA,Antarctica,Antarctic,,,-90.0,0.0,1300,,,,,,,,,1300.0,master,2026-05-23T05:48:00+00:00
SOM,Somalia,Africa,Eastern Africa,Mogadishu,10.0,49.0,19655000,19009151.0,2024,11967000000.0,2024,629.538899449007,2024,58.967,2024,19009151.0,world_bank,2026-05-23T05:48:00+00:00
LBN,Lebanon,Asia,Western Asia,Beirut,33.83333333,35.83333333,5490000,5805962.0,2024,20078620356.9931,2023,3477.72489842684,2023,77.945,2024,5805962.0,world_bank,2026-05-23T05:48:00+00:00
GIN,Guinea,Africa,Western Africa,Conakry,11.0,-10.0,14363931,14754785.0,2024,25008678293.4084,2024,1694.95375862193,2024,60.904,2024,14754785.0,world_bank,2026-05-23T05:48:00+00:00
TJK,Tajikistan,Asia,Central Asia,Dushanbe,39.0,71.0,10499000,10590927.0,2024,14204575548.5536,2024,1341.20229027672,2024,71.927,2024,10590927.0,world_bank,2026-05-23T05:48:00+00:00
MYS,Malaysia,Asia,South-Eastern Asia,Kuala Lumpur,2.5,112.5,34231700,35557673.0,2024,422227005428.688,2024,11874.4273684245,2024,76.821,2024,35557673.0,world_bank,2026-05-23T05:48:00+00:00
PRK,North Korea,Asia,Eastern Asia,Pyongyang,40.0,127.0,25950000,26498823.0,2024,,,,,73.743,2024,26498823.0,world_bank,2026-05-23T05:48:00+00:00
SLE,Sierra Leone,Africa,Western Africa,Freetown,8.5,-11.5,9077691,8642022.0,2024,6971127235.3123,2024,806.654650417726,2024,61.964,2024,8642022.0,world_bank,2026-05-23T05:48:00+00:00
BEN,Benin,Africa,Western Africa,Porto-Novo,9.5,2.25,13224860,14462724.0,2024,21482643706.4249,2024,1485.38018885134,2024,60.961,2024,14462724.0,world_bank,2026-05-23T05:48:00+00:00
ITA,Italy,Europe,Southern Europe,Rome,42.83333333,12.83333333,58927633,58952704.0,2024,2380825077243.59,2024,40385.3413957669,2024,83.9512195121951,2024,58952704.0,world_bank,2026-05-23T05:48:00+00:00
TTO,Trinidad and Tobago,Americas,Caribbean,Port of Spain,10.6918,-61.2225,1367764,1368333.0,2024,25633544529.4849,2024,18733.4110406494,2024,73.617,2024,1368333.0,world_bank,2026-05-23T05:48:00+00:00
SAU,Saudi Arabia,Asia,Western Asia,Riyadh,25.0,45.0,35300280,35300280.0,2024,1239804533333.33,2024,35121.6628687742,2024,78.982,2024,35300280.0,world_bank,2026-05-23T05:48:00+00:00
CRI,Costa Rica,Americas,Central America,San José,10.0,-84.0,5309625,5129910.0,2024,95350423176.5962,2024,18587.1532203482,2024,80.996,2024,5129910.0,world_bank,2026-05-23T05:48:00+00:00
SRB,Serbia,Europe,Southeast Europe,Belgrade,44.0,21.0,6567783,6586476.0,2024,90097765959.1114,2024,13679.2065983557,2024,75.9682926829268,2024,6586476.0,world_bank,2026-05-23T05:48:00+00:00
TKL,Tokelau,Oceania,Polynesia,Fakaofo,-9.0,-172.0,2608,,,,,,,,,2608.0,master,2026-05-23T05:48:00+00:00
MNG,Mongolia,Asia,Eastern Asia,Ulan Bator,46.0,105.0,3544835,3524788.0,2024,23794540024.5132,2024,6750.6301157724,2024,72.3980487804878,2024,3524788.0,world_bank,2026-05-23T05:48:00+00:00
BRN,Brunei,Asia,South-Eastern Asia,Bandar Seri Begawan,4.5,114.66666666,455500,462721.0,2024,15340808592.48,2024,33153.4738913513,2024,75.501,2024,462721.0,world_bank,2026-05-23T05:48:00+00:00
HUN,Hungary,Europe,Central Europe,Budapest,47.0,20.0,9539502,9562065.0,2024,222722738925.641,2024,23292.3263882478,2024,76.7243902439025,2024,9562065.0,world_bank,2026-05-23T05:48:00+00:00
MOZ,Mozambique,Africa,Eastern Africa,Maputo,-18.25,35.0,34090466,34631766.0,2024,22745341305.0622,2024,656.776824637306,2024,63.797,2024,34631766.0,world_bank,2026-05-23T05:48:00+00:00
KIR,Kiribati,Oceania,Micronesia,South Tarawa,1.41666666,173.0,120740,134518.0,2024,307862564.489711,2024,2288.63471423684,2024,66.6,2024,134518.0,world_bank,2026-05-23T05:48:00+00:00
HTI,Haiti,Americas,Caribbean,Port-au-Prince,19.0,-72.41666666,11867032,11772557.0,2024,25224154990.7946,2024,2142.62330526788,2024,65.119,2024,11772557.0,world_bank,2026-05-23T05:48:00+00:00
KHM,Cambodia,Asia,South-Eastern Asia,Phnom Penh,13.0,105.0,17577760,17638801.0,2024,46352647037.2406,2024,2627.87969756224,2024,70.817,2024,17638801.0,world_bank,2026-05-23T05:48:00+00:00
EGY,Egypt,Africa,Northern Africa,Cairo,27.0,30.0,107271260,116538258.0,2024,389059911003.566,2024,3338.47371395895,2024,71.806,2024,116538258.0,world_bank,2026-05-23T05:48:00+00:00
TKM,Turkmenistan,Asia,Central Asia,Ashgabat,40.0,60.0,7057841,7494498.0,2024,51387209872.2994,2024,6856.65802730208,2024,70.201,2024,7494498.0,world_bank,2026-05-23T05:48:00+00:00
OMN,Oman,Asia,Western Asia,Muscat,21.0,57.0,5343630,5281538.0,2024,107137198769.386,2024,20285.2272897377,2024,80.246,2024,5281538.0,world_bank,2026-05-23T05:48:00+00:00
JAM,Jamaica,Americas,Caribbean,Kingston,18.25,-77.5,2825544,2839175.0,2024,22014397089.7689,2024,7753.8006955432,2024,71.606,2024,2839175.0,world_bank,2026-05-23T05:48:00+00:00
AZE,Azerbaijan,Asia,Western Asia,Baku,40.5,47.5,10241722,10202830.0,2024,74315882352.9412,2024,7283.8499076179,2024,74.576,2024,10202830.0,world_bank,2026-05-23T05:48:00+00:00
SVK,Slovakia,Europe,Central Europe,Bratislava,48.66666666,19.5,5413813,5422069.0,2024,140934076532.375,2024,25992.6748502048,2024,78.3707317073171,2024,5422069.0,world_bank,2026-05-23T05:48:00+00:00
BLR,Belarus,Europe,Eastern Europe,Minsk,53.0,28.0,9109280,9132629.0,2024,75961865471.9129,2024,8317.63399913792,2024,74.3653414634147,2024,9132629.0,world_bank,2026-05-23T05:48:00+00:00
VNM,Vietnam,Asia,South-Eastern Asia,Hanoi,16.16666666,107.83333333,101343800,100987686.0,2024,476388230307.175,2024,4717.29028732449,2024,74.736,2024,100987686.0,world_bank,2026-05-23T05:48:00+00:00
VIR,United States Virgin Islands,Americas,Caribbean,Charlotte Amalie,18.35,-64.933333,87146,104377.0,2024,4672000000.0,2022,44320.909185774,2022,80.7707317073171,2024,104377.0,world_bank,2026-05-23T05:48:00+00:00
GIB,Gibraltar,Europe,Southern Europe,Gibraltar,36.13333333,-5.35,38000,39329.0,2024,,,,,83.63,2024,39329.0,world_bank,2026-05-23T05:48:00+00:00
SXM,Sint Maarten,Americas,Caribbean,Philipsburg,18.033333,-63.05,41349,43350.0,2024,1797836665.95136,2024,41472.5874498583,2024,76.528,2024,43350.0,world_bank,2026-05-23T05:48:00+00:00
ALA,Åland Islands,Europe,Northern Europe,Mariehamn,60.116667,19.9,30654,,,,,,,,,30654.0,master,2026-05-23T05:48:00+00:00
